fig_club,gesgolf_club,circolo_id,ges_route_name,suggested_fig_course_name,suggested_fig_source_external_id,suggested_relation,suggested_confidence,ges_route_status,ges_route_anomalies,protected_live,import_bucket,import_reason
Campodoglio,CAMPODOGLIO,701,18 Buche Easy,18 Buche Easy 2024,fig-course-campodoglio-18-buche-easy-2024,playable_course,medium,safe,,no,needs_review,confidence_too_low
Campodoglio,CAMPODOGLIO,701,9 Buche Mixed,9 Buche Mixed 2024,fig-course-campodoglio-9-buche-mixed-2024,base_route,medium,safe,,no,needs_review,confidence_too_low
Campodoglio,CAMPODOGLIO,701,18 Buche Mixed,18 Buche Mixed 2024,fig-course-campodoglio-18-buche-mixed-2024,playable_course,medium,safe,,no,needs_review,confidence_too_low
Cansiglio,CANSIGLIO,9,Prime nove,Prime Nove,fig-course-cansiglio-prime-nove,playable_course,medium,warning,par_total_anomaly_for_18,no,needs_review,ges_route_warning
Cansiglio,CANSIGLIO,9,18 buche,18 Buche,fig-course-cansiglio-18-buche,playable_course,high,safe,,no,import_ready,all_checks_passed
Cansiglio,CANSIGLIO,9,Seconde nove,Seconde Nove,fig-course-cansiglio-seconde-nove,base_route,high,safe,,no,import_ready,all_checks_passed
Caorle,CAORLE,481,PdTorri,18 Buche,fig-course-caorle-18-buche,playable_course,benchmark_manual,safe,,no,import_ready,all_checks_passed
Caorle,CAORLE,481,PRIME 9,Prime Nove,fig-course-caorle-prime-nove,base_route,benchmark_manual,safe,,no,import_ready,all_checks_passed
Caorle,CAORLE,481,SECONDE 9 BUCHE,Seconde Nove,fig-course-caorle-seconde-nove,base_route,benchmark_manual,safe,,no,import_ready,all_checks_passed
Carimate,CARIMATE,11,18 BUCHE,18 Buche,fig-course-carimate-18-buche,playable_course,high,safe,,no,import_ready,all_checks_passed
Carimate,CARIMATE,11,PRIME NOVE,Prime Nove,fig-course-carimate-prime-nove,playable_course,low,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,no,needs_review,ges_route_warning
Carimate,CARIMATE,11,SECONDE NOVE,Seconde Nove,fig-course-carimate-seconde-nove,playable_course,medium,warning,par_total_anomaly_for_18,no,needs_review,ges_route_warning
Casalunga,CASALUNGA,172,AUGUSTA,18 Buche,fig-course-casalunga-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,tucson,18 Buche,fig-course-casalunga-18-buche,playable_course,low,warning,,no,needs_review,ges_route_warning
Casalunga,CASALUNGA,172,OPEN,18 Buche,fig-course-casalunga-18-buche,playable_course,low,warning,,no,needs_review,ges_route_warning
Casalunga,CASALUNGA,172,Tiger,18 Buche,fig-course-casalunga-18-buche,playable_course,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,ASCONA,18 Buche,fig-course-casalunga-18-buche,playable_course,low,warning,par_total_anomaly_for_18|second_half_empty_or_zero|many_zero_stroke_indexes,no,needs_review,ges_route_warning
Casalunga,CASALUNGA,172,STORM 9,9 Buche New Storm 2025,fig-course-casalunga-9-buche-new-storm-2025,base_route,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,STORM 18,18 Buche New Storm 2025,fig-course-casalunga-18-buche-new-storm-2025,playable_course,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,STORM 3 18 b.,18 Buche IDICE 2025,fig-course-casalunga-18-buche-idice-2025,playable_course,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,STORM 3 9 b.,9 Buche IDICE 2025,fig-course-casalunga-9-buche-idice-2025,base_route,low,safe,,no,needs_review,confidence_too_low
Casalunga,CASALUNGA,172,STORM 3 18b 70,18 Buche New Storm 2025,fig-course-casalunga-18-buche-new-storm-2025,playable_course,low,safe,,no,needs_review,confidence_too_low
